category,description,MRP,SP,imgurl1,imgurl,productname
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1499,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_65bff739196b8ae467593412f02811d2.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2ebb42dbae58db5e314ef4ce61020ac3.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_65bff739196b8ae467593412f02811d2.jpg,"
	FlexFast Cable 40lb"
Bar Pads  ,"
	Premium 15mm Neotek™ foam core cushions neck and shoulders Sueded Comfort Tech™ cover is smooth and easy to clean Fits standard bar",999,899,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_deb94621ab481e44c72cf7e8359a6790.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d3b05198c6eca971e1a53c32c7f04e51.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_deb94621ab481e44c72cf7e8359a6790.jpg,"
	Classic Bar Pad"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1349,1214,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_19bfc2d0016ac6d830561849dd15ba4b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_27737eeab259f3a0ea4e7c9f249bf2d0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_19bfc2d0016ac6d830561849dd15ba4b.jpg,"
	FlexFast Cable 30lb"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1299,,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_48c50e7a16c06819c76241989752480c.jpg,"
	FlexFast Cable 20lb"
Resistance Cables ,"
	1) For total body toning and gains in strength, endurance and performance,
	2) PowerAmp™ xXx tubing lasts 3x’s longer than standard cables,
	3) Molded foam handles enhance grip comfort,
	4) Heavy duty door jamb attachment provides more exercise options,
	5) Lightweight and portable",1199,,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_028e1b852421578c72a9facc4791a9bb.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e6c5d0cafc2232a39c723d4e00b1a3f0.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_028e1b852421578c72a9facc4791a9bb.jpg,"
	FlexFast Cable 10lb"
Wraps & Straps ,,1399,1259,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_1c981ea8143e991ca9b1863f0f4d4b69.jpg,"
	Pro-Knee Wrap"
Wraps & Straps ,"
	Distinctive red line competition grade elastic maximizes knee stability and support Extended 78” length provides full spectrum tension in wrapping and knee positioning",1899,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_10679049d6cf7a44446ddfee6637fc18.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_eb51aad6cd7b4f4189ecfdfe6292ceb8.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ea15dc0a9045869b2f02ad426e10350a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_10679049d6cf7a44446ddfee6637fc18.jpg,"
	Classic Knee Wrap"
Wraps & Straps ,,525,472,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_ee9e4f2fae3136745b6ff44c4c0209ed.jpg,"
	Power Slip On 12.5 "
Wraps & Straps ,"
	Extended 20” length provides strong support and wrist stability Thumb loop secures wrap on hand Fully adjustable closure",699,629,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_dab2cc8018ea7f6370cdbbcf3d7a84db.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_eeeeb885e426d1ffb502eed3c994f65a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_dab2cc8018ea7f6370cdbbcf3d7a84db.jpg,"
	Pro Wrist Wrap-Thump Loop"
Wraps & Straps ,"
	Extended length strap for stronger wrap on bar Extra 1 ½” width increases contact on grip surface Merrowed end tabs prevent fraying Heavy duty stitching for enhanced durability",449,44,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_922fb09cb26af23aa97adbecbe9cf8f6.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_4a52a42268b9e6713e44ab909bed7ed7.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_922fb09cb26af23aa97adbecbe9cf8f6.jpg,"
	Power Lifting Strap"
Wraps & Straps ,"
	Heavy weight elastic construction. 30"" in length. Fully adjustable closure system helps secure wrap in place.",799,719,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_78dafd0fcec30c4fdda3871c13dee797.jpg,"
	Elastic Elbow Wrap"
Wraps & Straps ,"
	Neotek™ pad cushions wrists Extended length strap for stronger wrap on bar Extra 1 ½” width increases contact on grip surface Merrowed end tabs prevent fraying Heavy duty stitching for enhanced durability",549,494,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2d0632140e92e253b94fc9207582f7ad.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ff8bf41d3d8fba6810e7d131437a0229.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_2d0632140e92e253b94fc9207582f7ad.jpg,"
	Padded Cotton Lifting Strap"
Wraps & Straps ,,1499,1349,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d1737e84044bdac24b600b81ebf0ea9e.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_68ef7e35bb4cee7fd76e148bb64a7415.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_df4717ec5799daa61f03a16fc40e087e.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d1737e84044bdac24b600b81ebf0ea9e.jpg,"
	Big Grip No-Slip Pro-Liftting Strap"
Wraps & Straps ,"
	DuraGrip™ rubber interwoven in heavy duty nylon increases traction on grip surface Extended length strap for stronger wrap on bar Heavy duty stitching for enhanced durability Patent pending",749,674,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e0c0a50a3cfb7658ed7bd3d2836eb95b.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_c38078dca41f3b65075621640ee08b53.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_e0c0a50a3cfb7658ed7bd3d2836eb95b.jpg,"
	Big Grip No Slip Lifting Strap"
Jump Rope ,"
	1) Antimicrobial treated handles control odor and staining caused by bacteria ,
	2) Steel bearings for smooth, consistent swing motion ,
	3) Dual-corded rope resists abrasion and maintains shape ,
	4) Dual injection molded handles enhance grip for greater control",899,89,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_495e7b0694e453bb9ad0faacac718d80.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_95286a045d8ca5cf2336119d1137faae.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_495e7b0694e453bb9ad0faacac718d80.jpg,"
	Anti-Microbial Speed Rope"
Jump Rope ,"
	1) Steel bearings for smooth, consistent swing motion ,
	2) Dual-corded rope resists abrasion and maintains shape ,
	3) Dual injection molded handles enhance grip for greater control",799,719,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d3ffaafa0c997e7a73a915fce3fa12c3.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_f935da0e213341a1872b0faf4ea055fd.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d3ffaafa0c997e7a73a915fce3fa12c3.jpg,"
	Speed Rope"
Wraps & Straps ,"
	DuraGrip™ rubber interwoven in heavy duty nylon increases traction on grip surface Neotek™ pad cushions wrists Extended length strap for stronger wrap on bar Heavy duty stitching for enhanced durability Patent pending",949,854,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_4fd9ed04178ecfcdc92dd14d03902abd.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d521d89598e1009f7ece986673aa084e.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_4fd9ed04178ecfcdc92dd14d03902abd.jpg,"
	Big Grip Padded Lifting Strap 21.5"
Fitness Gloves ,,1249,1124,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b371a576c242a9b931c701db75c579a0.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_662e20f288a52230f79b6b183f98654c.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_8e1fd02358670bee1cd5468eeceac2dc.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_b371a576c242a9b931c701db75c579a0.jpg,"
	Womens Pro Wash & Dry"
Fitness Gloves ,"
	Double leather palm protects hand and maintains feel on bar,
	Open cell foam cushions palm and fingers,
	½ finger length increases contact with grip surface,
	Wrap-around thumb protection,
	Double stitched for enhanced durability,
	Fully adjustable wrist closure",1249,1124,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_134511ed01258a4d119f5402659547ac.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_5dee1a60ec5de9e6e5a5b28f4fc43371.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_5587a4a82a057fd550edab07f46e54dd.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_1bb189a5080180a963dcf50170b1f32c.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2b258d3122451632e4efc9a52ad5fe80.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_ae53959dfd74252b1adbceb0cc458363.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_134511ed01258a4d119f5402659547ac.jpg,"
	Pro Wash & Dry"
Fitness Gloves ,"
	Fully adjustable graduated fabric WristWrap provides maximum support and flexibility,
	Double leather palm protects hand and maintains feel on bar,
	Open cell foam cushions palm and fingers,
	½ finger length increases contact with grip,
	Wrap-around thumb protection,
	Double stitching enhances durability",1499,1349,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_68c5a68aedf4a4488a6c0891beff3574.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_30b77f5c7a9d06046d7f283fa71edbf9.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_e9a2ec9fb6e7e49328f0e9954d83bf1f.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_68c5a68aedf4a4488a6c0891beff3574.jpg,"
	Pro WristWrap"
Fitness Gloves ,"
	Fully adjustable graduated leather WristWrap provides maximum support and flexibility,
	Close Contact™ palm minimizes bulk, with strong feel on the bar,
	Machine washable and dryable leather,
	½ finger length increases contact with grip surface,
	NoSweat™ lining wicks away moisture to keep hands dry,
	Wrap-around thumb protection,
	Double stitched for enhanced durability,
	Double leather pull patch",1949,1754,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_876cdf225d923b675371485d955a30be.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_7e708c799835268284c44c3c1777bfa8.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_876cdf225d923b675371485d955a30be.jpg,"
	Classic WristWrap"
Fitness Gloves ,"
	TriFlex™ palm mimics natural motion of the hand with three integrated layers that flex with grip,
	Machine washable and dryable leather,
	Precurved ¾ finger length extends just below third finger joint,
	Close Contact™ palm provides strong feel on the bar,
	Fully adjustable Dual Closure System™",2199,1979,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d43537d6d0827908820df59afa4cbee5.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_fe7abccd03a3ff4c418ee40a2c9d87ae.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_809aa9cff76afb89e0dbb37b9ebde71d.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d43537d6d0827908820df59afa4cbee5.jpg,"
	Flex Fit Classic Non WristWrap"
Fitness Gloves ,"
	Fully adjustable graduated WristWrap provides maximum support and flexibility,
	TriFlex™ palm mimics natural motion of the hand with three integrated layers that flex with grip,
	Machine washable and dryable leather,
	Precurved ¾ finger length extends just below third finger joint,
	Close Contact™ palm provides strong feel on the bar,
	fitlock pretensioned palm ensures wrinkle-free contact on grip surface",2899,269,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_32bd4da01fe5ac3f7f1679ab49d9b56d.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0882a3e9895d6b1fd0f38616e903bb97.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_30e61bee73ca50bc196736cf33a7f995.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_32bd4da01fe5ac3f7f1679ab49d9b56d.jpg,"
	Flex Fit Classic WristWrap"
Fitness Gloves ,,1199,179,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_3cd35275fae421e2029bd6a32138226d.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_547f468d345f50690f81aec92cba9e5e.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_3cd35275fae421e2029bd6a32138226d.jpg,"
	Womens Flexfit Wash & Dry"
Fitness Gloves ,"
	BiFlex™ palm with integrated layers that flex naturally with hand,
	TechGel™ pads conform to palm and thumb, cushioning key stress points,
	Machine washable and dryable leather ½ finger length increases contact with grip surface,
	Leather palm pads protect hands and enhance glove durability,
	Fully adjustable wrist closure",1349,1214,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_edd8803429dc35a897a55a0afe261575.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_fdbed41c9af6dd916f02d8f3c4580b7a.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_11c8f356677a2af90074d3646ecc2946.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_edd8803429dc35a897a55a0afe261575.jpg,"
	Mens Flexfit Wash & Dry"
Fitness Gloves ,"
	DYNAMIC COMFORT Precurved extended length positions and protects fingers. SPIDERGRIP™ CONTROL Exclusive tactified leather palm grabs bar for ultimate grip control and power CLOSE CONTACT: BIOFLEX™ All leather, maximum grip on bar…Patent-pending moving palm is next generation glove technology FORM FIT Exclusive Dual Closure System™ customizes fit and smoothes palm PEAK PERFORMANCE: BIOFLEX™ Patent-pending layered palm design eliminates bulk and enhances comfort. Acts like a second skin, moving with grip so you can lift stronger, better, longer.",2299,269,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_cfa658ea080d1a9f3b9c306f666c9386.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_122a2d6ef32230a0dd79cf08eebed0ff.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_cfa658ea080d1a9f3b9c306f666c9386.jpg,"
	Bioflex (NEW)"
Fitness Gloves ,"
	DYNAMIC COMFORT Precurved extended length positions and protects fingers. SPIDERGRIP™ CONTROL Exclusive tactified leather palm grabs bar for ultimate grip control and power CLOSE CONTACT: BIOFLEX™ All leather, maximum grip on bar…Patent-pending moving palm is next generation glove technology FITLOCK™ WRISTWRAP Fully adjustable wrist support and smooth palm system PEAK PERFORMANCE: BIOFLEX™ Patent-pending layered palm design eliminates bulk and enhances comfort. Acts like a second skin, moving with grip so you can lift stronger, better, longer.",2999,2699,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_cbc29faff2b48906048b349df536ad02.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0cd1437468c0de4698ad90e546a4b424.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b629afe4fdc4eb8dc8da6204183ee620.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_2e0ab5a3d4df5a6c6f777d7452dfc05b.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_cbc29faff2b48906048b349df536ad02.jpg,"
	Bioflex Wristwrap (NEW)"
Fitness Gloves ,"
	11 SqueezeGrip™ pads conform to the shape of the hand and bar, cushioning stress points and maximizing control over grip TriFlex™ palm mimics natural motion of the hand with three integrated layers that flex with grip Precurved ¾ finger length extends just below third finger joint Leather palm pad enhances comfort, durability and fit Fully adjustable Dual Closure System™",2599,2339,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_932b5da75c269ded41fe13b08736266f.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_6db1b1ab5efffef1861bc78f1b16b5ec.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_54057f550208aa04fdae145797fcb1aa.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_932b5da75c269ded41fe13b08736266f.jpg,"
	Flex Fit Ultra Non WristWra"
Fitness Gloves ,"
	Fully adjustable graduated WristWrap provides maximum support and flexibility 11 SqueezeGrip™ pads conform to the shape of the hand and bar, cushioning stress points and maximizing control over grip TriFlex™ palm mimics natural motion of the hand with three integrated layers that flex with grip Precurved ¾ finger length extends just below third finger joint Leather palm pad enhances comfort, durability and fit",2499,2249,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9218642b4690c55c3ac7eba377efa132.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_d5cd51a54bbe173b548adf6f224623b6.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_155666d154e853370d677fe39cc7e301.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_9218642b4690c55c3ac7eba377efa132.jpg,"
	Flex Fit Ultra WristWrap "
Fitness Gloves ,"
	Comfort Tech™ layered fabric maintains shape after use and washing,
	NoSweat™ lining wicks away moisture to keep hands dry,
	TechGel™ pads conform to palm and thumb, cushioning key stress points,
	Precurved ¾ finger length extends just below third finger joint,
	Fully adjustable wrist closure",1949,1754,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9d0aa97c06485add5f47c5886a81bc73.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_b3280d9cceb162403e110ae08a436826.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_33136b862cde39e2185720017a9eed0a.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_9d0aa97c06485add5f47c5886a81bc73.jpg,"
	Mens Training Grip"
Fitness Gloves ,"
	Designed specifically for women Fully adjustable graduated WristWrap provides a customized fit with maximum support and flexibility Comfort Tech™ layered fabric maintains shape after use and washing TechGel™ pads conform to palm and thumb, cushioning key stress points NoSweat™ lining wicks away moisture to keep hands dry Precurved ¾ finger length extends just below third finger joint",1699,1529,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_d1d2fea649eb7aa65875e13c97a9ee33.jpg,"
	Womens Training Grip Wristwrap"
Fitness Gloves ,"
	Fully adjustable graduated WristWrap provides maximum support and flexibility,
	Comfort Tech™ layered fabric maintains shape after use and washing,
	TechGel™ pads conform to palm and thumb, cushioning key stress points,
	NoSweat™ lining wicks away moisture to keep hands dry,
	Precurved ¾ finger length extends just below third finger joint",2299,269,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_7d35d689b6b06d53a9efa40bf18bc490.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_0ebfc080bc521a4337efca9efc32df20.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_a21fa2933f266c97d514b770614bed06.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_7d35d689b6b06d53a9efa40bf18bc490.jpg,"
	Mens Training Grip Wristwrap"
Fitness Gloves ,"
	1-Patented palm design,
	2-“No-Slip”  “Dura-GripTM” rubber pads on the palm and,
	 fingers grab the bar providing increased traction,
	 cushioning and durability,
	3-Fully adjustable wrist closure customizes fit,
	Innovative curved finger design fits the natural shape,
	of the hand,
	4-Exclusive machine wash & air dry “Comfort Tech”,
	leathers and fabrics stay supple, comfortable and,
	last longer,
	5-NoSweatTM materials wick moisture away for,
	increased comfort",2099,1889,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_05a39ccfe695d0e4cb2f5c7dfc5d2b16.jpg,"
	Big Grip"
Fitness Gloves ,"
	Patented WristWrap® integrates the wrist and the palm for outstanding stability and support. The graduated, patented WristWrap® insures proper positioning of the hand and wrist helping to prevent hyperextension."" Patented palm design. No-Slip ""Dura-Grip™"" rubber pads on the palm and fingers grab the bar providing increased traction, cushioning and durability."" Ergonomic curved finger design fits the natural shape of the hand increasing flexibility and comfort. 3/4 finger length maximizes hand protection. Exclusive machine wash & air dry ""Comfort Tech™"" leathers and fabrics stay supple, comfortable and last longer. NoSweat™ materials wick moisture away for increased comfort.""",2799,2519,,http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_0733d1c9a58177393d87a5c99d1d630b.jpg,"
	Big Grip II WristWrap"
Fitness Gloves ,"
	New, revolutionary, patented WristWrap® integrates the entire hand for maximum stability and support. The graduated, patented WristWrap® insures proper positioning of the hand and wrist helping to prevent hyperextension. ""No-Slip"" ""Dura-Grip™"" rubber pads on the palm and fingers grab the bar providing increased traction, cushioning and durability. Innovative curved finger design fits the natural shape of the hand. Exclusive machine wash & air dry ""Comfort Tech"" leathers and fabrics stay supple, comfortable and last longer. NoSweat™ materials wick moisture away for increased comfort.",2399,2159,"http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_9486e3e078fc5a01f70363cc821ffde1.jpg,http://harbingerfitnessindia.com//7506secure/upload/81x100/thumb_81x100_35ac933729988ef15524fb4f904dfedf.jpg",http://harbingerfitnessindia.com//7506secure/upload/155x195/thumb_155x195_9486e3e078fc5a01f70363cc821ffde1.jpg,"
	Big Grip WristWrap"
