productcode,Description,Category,productname,Image Url1
VB-470,Size : 5,volleyball,PU - 5000,http://www.niviasports.com/volleyball/pu2-5000.png
VB-475,Size: 5,volleyball,Flash ,http://www.niviasports.com/volleyball/flash.png
VB-482,Size: 5,volleyball,Hi-Grip,http://www.niviasports.com/volleyball/hi-grip.png
VB-477,Size: 5,volleyball,Classic,http://www.niviasports.com/volleyball/classic.png
FB-281," Size-5, 4",football,Classic,http://www.niviasports.com/football/footballs/classic2.png
AT-507,Collapsible Aluminimum,basketball,Ball Trolley,http://www.niviasports.com/basketball/at_507.png
FB-293,"
          ,
          ,          Size - 5",football,Shining Star 2022 ,http://www.niviasports.com/football/footballs/shining-star_2.png
FB-292,"Official Match Ball of Santosh Trophy,2011 Assam,          Size - 5",football,Shining Star,http://www.niviasports.com/football/footballs/shining-star.png
FB-360,"
Size-5",football,Latino,http://www.niviasports.com/football/footballs/latino.png
"HB-371, 372, 379","Size(s): Men, Women, Sub-Junior",otherballs,Hand Ball,http://www.niviasports.com/otherballs/handball.png
HC-384, ,otherballs,Forever Hocky Ball,http://www.niviasports.com/otherballs/hockey-ball.png
RF-529, ,accessories,Refree Flag,http://www.niviasports.com/accessories/referee-flag.png
CF-528, ,accessories,Corner Flag ,http://www.niviasports.com/accessories/corner-flag.png
SC-559, ,accessories,Soucer Cones ,http://www.niviasports.com/accessories/soucer-cones.png
MC-55,"MC-555,6"",MC-556,9"",MC-557,12"",MC-558,15"",Set of 6 Cones",accessories,Marking Cones,http://www.niviasports.com/accessories/marking-cones.png
DC-560, ,accessories,Dome Cones,http://www.niviasports.com/accessories/dome-cones.png
FT-666, ,accessories,"Football Training
        ",http://www.niviasports.com/accessories/ft_666.png
BR-508,Length 1 mtr.,accessories,"Hurdle Bars
        ",http://www.niviasports.com/accessories/br_508.png
AB-664, ,accessories,"Arm Band
        ",http://www.niviasports.com/accessories/ab_664.png
AS-527, ,accessories,Agility Sticks,http://www.niviasports.com/accessories/agility-sticks.png
GG-984,"Super Stretchable MIcro Leater,GG-984,M,GG-985,L,GG-986,XL",accessories,Cromo,http://www.niviasports.com/accessories/gg_984.png
"GG-885, 86, 87","Super Stretchable Micro Leather,GG-885,M,GG-886,L,GG-887,XL",accessories,Python,http://www.niviasports.com/accessories/gg_885.png
FB-354, ,football,"
Nivia Storm",http://www.niviasports.com/football/footballs/storm.png
GG-987,"Micro Leather With Extra Support,GG-987,M,GG-988,L,GG-989,XL",accessories,Sniper,http://www.niviasports.com/accessories/gg_987.png
GG-921,"Genuine Leather-Extra Wrap,GG-921,L,GG-922,M",accessories,Pro Wrap,http://www.niviasports.com/accessories/gg_921.png
GG-890,"GG-890,L,GG-847,M",accessories,Leather Gym ,http://www.niviasports.com/accessories/leather-gym.png
GG-923,"Dotted Leather Extra Grip,GG-923,L,GG-924,M",accessories,Splender,http://www.niviasports.com/accessories/gg_923.png
GG-889, ,accessories,Gym Leather,http://www.niviasports.com/accessories/gym-leather.png
GG-888, ,accessories,Gym Dragon,http://www.niviasports.com/accessories/gym-dragon.png
SH- 551,"SH-551,12"",SH-552,9"",SH-553,6""",accessories,Speed Hurdles,http://www.niviasports.com/accessories/speed-hurdles.png
SL-561, ,accessories,Speed Ladders ,http://www.niviasports.com/accessories/speed-ladders.png
ac-609,Non Megnetic With Marker,accessories,"Tactic Board
        ",http://www.niviasports.com/accessories/ac_609.png
ac-608,With Magnetic Dots,accessories,"Tactic Board
        ",http://www.niviasports.com/accessories/ac_608.png
tb-860,"Sizes: S, M, L, XL",accessories,"traning bib
        ",http://www.niviasports.com/accessories/tb_860.png
FR-563, ,accessories,Frisbee,http://www.niviasports.com/accessories/frisbee.png
TT-816,With Magnetic Platform ,accessories,Tummy Twister,http://www.niviasports.com/accessories/twister.png
RC-526, ,accessories,Referee Cards,http://www.niviasports.com/accessories/referee-cards.png
PA-554, ,accessories,Passing Arc,http://www.niviasports.com/accessories/passing-arc.png
"NB-619, (H-Stitched), 620 (Moled)",Size: 5,otherballs,Netball,http://www.niviasports.com/otherballs/netball.png
KB-621,"It is a great option for players of any level, offering a great combination of quality and value for money and features:,
          ,Size: 5",otherballs,Korf Ball ,http://www.niviasports.com/otherballs/korfball.png
"TB-370S (Plain), 369 (Grained)",Size : 5,otherballs,Throw Ball,"http://www.niviasports.com/otherballs/throwball.png,otherballs/throwball2.png"
SB-522,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball3.png
SB-520,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball2.png
SB-519,Size(s): 3,otherballs,Shooting Ball,http://www.niviasports.com/otherballs/shootingball1.png
RB-542,"It is made of top-quality natural rubber and a deep buffed surface and sponge rubber cushioning for better gripping. This ball uses the water surface to keep the action moving rather than slowing it down.,
          ,Official size & weight specifications,
          ,
          Size: 5",otherballs,Water Polo,"http://www.niviasports.com/otherballs/waterpolo.png,otherballs/waterpolo2.png"
"HB-361, 362, 365","Size(s): Men, Women, Sub-Junior",otherballs,Handball Trainer,http://www.niviasports.com/otherballs/handball-trainer.png
FB-279, Size - 5,football,Torrido,"http://www.niviasports.com/football/footballs/torrido.png,football/footballs/torrido2.png"
FB-276,          Size-5,football,Force Vision,http://www.niviasports.com/football/footballs/force-vision2.png
FB-246, ,football,Vertigo,http://www.niviasports.com/football/footballs/vertigo.png
FB-270,"PU-Hand Stitched,Size-5",football,Ripple Beach Football,http://www.niviasports.com/football/footballs/fb_270.png
FB-221,          Size - 5,football,Revolvo,http://www.niviasports.com/football/footballs/revolvo.png
FB-245,"PU-(32P), For Hard Ground ,
Size: 5,",football,Equator,http://www.niviasports.com/football/footballs/fb_245.png
"FB-355, 356, 357","It is designed for recreational play, features a durable rubber moulded cover and a tough, nylon-wound butyl bladder. It helps to improve kicking and throw-in mechanics.,Size(s): 5,3,2",football,Europa Football,http://www.niviasports.com/football/footballs/europa-football.png
FB-275,          Size - 4,football,Force Futsal ,http://www.niviasports.com/football/footballs/force-futsal.png
BB-201,"Rubber,
        ,
        	,BB-201,7,BB-202,6,BB-203,5,
      ",basketball,Engraver,http://www.niviasports.com/basketball/bb_201.png
FB-265,Rubberized Hand Stitched (Country Color),football,Cross World,"http://www.niviasports.com/football/footballs/fb_265.png,football/footballs/fb_265_small.png"
FB-280," Size - 5, 4 ",football,Trainer,http://www.niviasports.com/football/footballs/trainer.png
FB-278," Size - 5, 4 ",football,Black &amp; White,http://www.niviasports.com/football/footballs/black-and-white.png
FB-277, Size-5,football,Super Synthetic,http://www.niviasports.com/football/footballs/super-synthetic.png
FB-283, Size - 5,football,Vega,http://www.niviasports.com/football/footballs/vega.png
"BB-632, 631, 630","It is designed for recreational play, features a high performance natural rubber cover. It helps build better technique and form for shooting, passing, dribbling and rebounding.,
          ,
          Size(s) - 3,2,1",basketball,Europa,"http://www.niviasports.com/basketball/europa-blue.png,basketball/europa-blue-sub.png"
"BB-180, 181, 179","Size(s) -7, 6, 5",basketball,Spectra,http://www.niviasports.com/basketball/multi-color2.png
BB-240,Size: - 6,basketball, Pro Touch,http://www.niviasports.com/basketball/pro-touch-performance.png
"BB-634, 635, 633","It is designed for recreational play, features a high performance natural rubber cover. It helps build better technique and form for shooting, passing, dribbling and rebounding.,
          ,
          Size(s) - 7,6,5",basketball,Europa,"http://www.niviasports.com/basketball/europa.png,basketball/europa_sub.png"
"BB-196, 182, 197","Size(s) -7, 6, 5",basketball,Regular,http://www.niviasports.com/basketball/regular.png
VB-496,Size: 5,volleyball,G-2020,http://www.niviasports.com/volleyball/g2020.png
VB-483,"Petro (18P),Size: 4",volleyball,Beach Volley,http://www.niviasports.com/volleyball/vb_483.png
VB-484,Size: 5,volleyball,Merger,http://www.niviasports.com/volleyball/merger-pu.png
VB-499,Size: 5,volleyball,Twirl,http://www.niviasports.com/volleyball/twirl.png
VB-540,Size: 5,volleyball,Spiral ,http://www.niviasports.com/volleyball/spiral.png
"VB-474, 481","Size(s): 5, 4",volleyball,Super Synthetic,http://www.niviasports.com/volleyball/supersynthetic.png
BB-241,"Â ,Official Match Ball of Nation Games,2011 Ranchi,Size: - 7,Â ",basketball, Pro Touch,http://www.niviasports.com/basketball/pro-touch.png
VB-471,Size: 5,volleyball,PU - 5000,http://www.niviasports.com/volleyball/pu-5000.png
VB-476,Size: 5,volleyball,PU ,http://www.niviasports.com/volleyball/pu.png
BB-242,"Composite Leather Pasted,BB-242,7,BB-243,6",basketball,Tucana,http://www.niviasports.com/basketball/bb_242.png
RW-948,Stainless Steel,accessories,"Referee Whistle
        ",http://www.niviasports.com/accessories/rw_948.png
PC-506, ,accessories,"Punched Cones
        ",http://www.niviasports.com/accessories/pc_506.png
TR-596, ,accessories,"Muscle Training Rope
        ",http://www.niviasports.com/accessories/tr_596.png
ks-585,With Adjustment Velcro,accessories,"knee Support
        ",http://www.niviasports.com/accessories/ks_585.png
ks-586,Slip-In Type,accessories,"Knee Support
        ",http://www.niviasports.com/accessories/ks_586.png
SG-764, ,football,Club,http://www.niviasports.com/football/shin-guards/club.png
SE-573,Size: 10 * 2 * 1400 mm,accessories,"Soft Expander
        ",http://www.niviasports.com/accessories/se_573.png
PB-550, ,accessories,"Push-up Bars
        ",http://www.niviasports.com/accessories/pushup-stands.png
JR-591,Without Weight,accessories,"Jump Rope
        ",http://www.niviasports.com/accessories/jr_591.png
pt-592, ,accessories,"Power Twister
        ",http://www.niviasports.com/accessories/pt_592.png
AS-667, ,accessories,"Full Arm Sleeves
        ",http://www.niviasports.com/accessories/as_667.png
FB-5608,"Square Mesh Pe,
,7.32 Mtr. ,2.44 Mtr.,
Net Mesh Hole: 12.5 cm
",football,Football Net,http://www.niviasports.com/football/football_nets/fb_5608.png
fb-5606,"Honey Comb Mesh Strong Silk,
,7.32 Mtr. ,2.44 Mtr.,
Net Mesh Hole: 12 cm
",football,Football Net,http://www.niviasports.com/football/football_nets/fb_5606.png
FB-5607,"Square Mesh Cotton,
,7.32 Mtr. ,2.44 Mtr.,
Net Mesh Hole: 15 cm
",football,Football Net,http://www.niviasports.com/football/football_nets/fb_5607.png
FB-5605,"Square Mesh Woven Terylene,
,7.32 Mtr. ,2.44 Mtr.,
Net Mesh Hole: 12 cm.
",football,Football Net,http://www.niviasports.com/football/football_nets/fb_5605.png
ss-851,"SS-851,Low Ankle,SS-852,Low Ankle,SS-853,High Ankle,SS-854,High Ankle",accessories,"Sports Socks
        ",http://www.niviasports.com/accessories/ss_851.png
"SB-773, 941","Size: Large, Small ",accessories,Sweat Band,http://www.niviasports.com/accessories/sweat-band.png
HB-774, ,accessories,Head Band,http://www.niviasports.com/accessories/head-band.png
ss-855, ,accessories,"Heel Support Gel
        ",http://www.niviasports.com/accessories/ss_855.png
jr-572,Without Weight,accessories,"Jump Rope
        ",http://www.niviasports.com/accessories/jr_572.png
jr-590,With Weight,accessories,"Leather Jump Rope
        ",http://www.niviasports.com/accessories/jr_590.png
JR-571,With Weight,accessories,"Jump Rope
        ",http://www.niviasports.com/accessories/jr_571.png
SE-575,Size: 12 * 2 * 1400 mm,accessories,"Jump Rope
        ",http://www.niviasports.com/accessories/se_575.png
SE-574,Size: 11 * 2 * 1400 mm,accessories,"Soft Expander
        ",http://www.niviasports.com/accessories/se_574.png
SG-746,Padded Shell,football,Protector,http://www.niviasports.com/football/shin-guards/sg_746.png
SG-790, ,football,Veto,http://www.niviasports.com/football/shin-guards/veto.png
SG-759, ,football,Speedy,http://www.niviasports.com/football/shin-guards/speedy.png
SG-752, ,football,Simbolo,http://www.niviasports.com/football/shin-guards/simbolo.png
SG-750,"Molded Colour,
Ankle Protection",football,Shield,http://www.niviasports.com/football/shin-guards/sg_750.png
SG-747, ,football,Protector,http://www.niviasports.com/football/shin-guards/protector.png
as-577,Size: 67.5L * 28.5W * 10.5H cm,accessories,"Aerobic Step
        ",http://www.niviasports.com/accessories/as_577.png
"SG-765, SG-807", ,football,Vortex,http://www.niviasports.com/football/shin-guards/vortex.png
fg-570,with Soft Grip (pair),accessories,"Foam Hand Grip
        ",http://www.niviasports.com/accessories/fg_570.png
fg-569,Double Blister (pair),accessories,"Foam Hand Grip
        ",http://www.niviasports.com/accessories/fg_569.png
ab-580,"With Foot Pump,AB-580,65cm,AB-581,75cm,AB-582,85cm",accessories,"Anti Burst Ball
        ",http://www.niviasports.com/accessories/ab_580.png
as-579,Size: 90.5L * 32.5W * 15H cm,accessories,"Aerobic Step
        ",http://www.niviasports.com/accessories/as_579.png
as-578,"Size: 80L * 30W * 10.5H cm,Â ",accessories,"Aerobic Step
        ",http://www.niviasports.com/accessories/as_578.png
SG-761, ,football,Valento,http://www.niviasports.com/football/shin-guards/valento.png
"SG-766, SG-805", ,football,Wisdom-2018,http://www.niviasports.com/football/shin-guards/wisdom_2018.png
"SG-767, SG-806", ,football,Performance,http://www.niviasports.com/football/shin-guards/performance.png
CE-815, ,accessories,"Chest Expander 
        ",http://www.niviasports.com/accessories/chest-expander.png
"WW-940, 939, 937, 938","WW-940,0.5kg,WW-939,1.0kg,WW-937,1.5kg,WW-938,2.0kg",accessories,"Weight Band
        ",http://www.niviasports.com/accessories/weight-band.png
PB-576,"Size: 6"", Plastic Based Soft Grip",accessories,Push-Up Bars,http://www.niviasports.com/accessories/push_up_bars.png
"WW-931, 932, 933","WW-931,0.5kg,WW-932,1.0kg,WW-933,1.5kg",accessories,"Aurum Wrist
        ",http://www.niviasports.com/accessories/aurum-ankle.png
BP-214,NIVIA's air pressure gauge ensures quick and accurate air pressure of all sporting balls.,football,Gauge Meter,http://www.niviasports.com/football/accessories/gauge-meter.png
SG-756, ,football,Classic,http://www.niviasports.com/football/shin-guards/classic.png
BP-212,For Molded Ball Valve Insertion,football,Valve Adaptor,http://www.niviasports.com/football/accessories/valve-adaptor.png
BP-213,This small pocket pump features a double action 'pull and push' technology which reduces the inflation time of the ball as it pumps air on both upstroke and downstroke.,football,Ball Pump,http://www.niviasports.com/football/accessories/ball-pump.png
ts-584,"Â ,Â ",accessories,"Thigh Support
        ",http://www.niviasports.com/accessories/ts_584.png
ws-583, ,accessories,"Wrist Support
        ",http://www.niviasports.com/accessories/ws_583.png
AS-588,Slip in Type,accessories,"Ankle Support
        ",http://www.niviasports.com/accessories/as_588.png
es-589, ,accessories,"Elbow Support
        ",http://www.niviasports.com/accessories/es_589.png
as-587,With Adjustable Velcro,accessories,"Ankle Support
        ",http://www.niviasports.com/accessories/as_587.png
RW-949,Plastic,accessories,"Referee Whistle
        ",http://www.niviasports.com/accessories/rw_949.png
SC-665, ,accessories,"Speed Chute
        ",http://www.niviasports.com/accessories/sc_665.png
KP-599,Soft Padded ( Black Color ),accessories,"Volleyball Knee Pad
        ",http://www.niviasports.com/accessories/kp_599.png
KP-598,Soft Padded ( Red Color ),accessories,"Volleyball Knee Pad
        ",http://www.niviasports.com/accessories/kp_598.png
KP-597,Soft Padded ( Blue Color ),accessories,"Volleyball Knee Pad
        ",http://www.niviasports.com/accessories/kp_597.png
GD-513, ,accessories,"Goal Keeper Dummy
        ",http://www.niviasports.com/accessories/gd_513.png
BB-5602,"Woven Thick Terylene,Size: 50cm",basketball,Basketball Net,"http://www.niviasports.com/basketball/basketball_nets/bb.png,basketball/basketball_nets/bb_5602_small.png"
SG-749,Molded Colour,football,Shield,http://www.niviasports.com/football/shin-guards/sg_749.png
VD-951,"VD-951,1kg,VD-952,2kg,VD-953,3kg,VD-954,4kg,VD-955,5kg",accessories,Vinyl Dumbbell,http://www.niviasports.com/accessories/dumbbell.png
MB-903,Rubber,accessories,Medicine Ball,http://www.niviasports.com/accessories/medicine-ball.png
VB-5604,"PE With Knot,Size: ,9.5 Mtr. ,1.0 Mtr.",volleyball,Volleyball Net,http://www.niviasports.com/volleyball/volleyball_nets/vb_5604.png
ym-444,"Size: 173 * 61 * 0.4 cm, Two Layer TPE",accessories,"Yoga Mat
        ",http://www.niviasports.com/accessories/ym_444.png
ym-443,"Size: 180 * 60 * 1 cm, NBR Exercise Mat",accessories,"Yoga Mat
        ",http://www.niviasports.com/accessories/ym_443.png
YM-439, ,accessories,"Yoga Mats
        ",http://www.niviasports.com/accessories/yoga-mats.png
VB-5603,"PE Without Knot,Size: ,9.5 Mtr. ,1.0 Mtr. ",volleyball,Volleyball Net,http://www.niviasports.com/volleyball/volleyball_nets/vb_5603.png
SG-946,Stretchable with Pocket,football,Shin Guard Sleeves,http://www.niviasports.com/football/shin-guards/sg_946.png
BB-5601,"Woven Thick Terylene,Size: 50cm",basketball,Basketball Net,"http://www.niviasports.com/basketball/basketball_nets/bb.png,basketball/basketball_nets/bb_5601_small.png"
MB-1001,"Rubber,MM-1001,1kg,MM-1002            ,2kg,MM-1003,3kg,MM-1004            ,4kg,MM-1005            ,5kg,MM-1006           ,6kg,MM-1007            ,7kg,MM-1008            ,8kg,MM-1009            ,9kg,MM-1010            ,10kg",accessories,Soft Medicine Ball,http://www.niviasports.com/accessories/soft-medicine-ball.png
810,"810-51,S,810-55,M",footwear,Spark 68,http://www.niviasports.com/footwear/inline_skates/810.png
809,"809-52,S,809-55,M",footwear,Cross Country,http://www.niviasports.com/footwear/inline_skates/809.png
801-S,"Size: 31"" * 8"",Size: 80mm",footwear,"Skate Board,Spare Wheels",http://www.niviasports.com/footwear/inline_skates/801_s.png
803,"803-6,6,100mm,803-7,7,90mm,803-8,8,80mm",footwear,Velocity,"http://www.niviasports.com/footwear/inline_skates/803.png,footwear/inline_skates/803_small.png"
804,"804-32,32-35,72mm,804-36,36-39,76mm,804-40,40-43,80mm",footwear,Super,http://www.niviasports.com/footwear/inline_skates/804.png
808,"808-31,31-34,72mm,808-35,35-38,76mm,808-39,40-43,80mm",footwear,cat Club,http://www.niviasports.com/footwear/inline_skates/808.png
823,"
        	,823,Small,824,Medium,825,Large,
        ",footwear,Helmet,http://www.niviasports.com/footwear/inline_skates/823.png
802-W,Nivia Skate Spare Wheels 80mm,footwear,Spare Wheels,http://www.niviasports.com/footwear/inline_skates/802_w.png
811,"811L,L,811M,M,811S,S",footwear,Skate Protector,"http://www.niviasports.com/footwear/inline_skates/811.png,footwear/inline_skates/811_small.png"
